"genes","symbol","v15.Counts","v32.Counts"
"ENSG00000228929","RPS13P2",32,29
"ENSG00000228930","MTCO1P3",11,10
"ENSG00000228933","AC107419.1",0,0
"ENSG00000228935","AL353132.1",0,0
"ENSG00000228937","MTA3P1",3,3
"ENSG00000228938","SNRPD2P1",9,9
"ENSG00000228939","AKT3-IT1",52,52
"ENSG00000228940","AL391730.1",0,0
"ENSG00000228941","UBE3AP2",2,1
"ENSG00000228943","AL137792.2",1,1
"ENSG00000228944","AC004485.1",0,0
"ENSG00000228945","CLUHP2",0,0
"ENSG00000228948","SLC25A6P5",19,19
"ENSG00000228949","UGT1A12P",0,0
"ENSG00000228950","AC023137.1",0,0
"ENSG00000228952","LINC02041",0,0
"ENSG00000228953","AC006026.2",0,0
"ENSG00000228955","AL591623.2",78,76
"ENSG00000228956","SATB1-AS1",1208,1194
"ENSG00000228957","AL512590.1",0,0
"ENSG00000228958","PIGPP3",0,0
"ENSG00000228959","AL049812.3",0,0
"ENSG00000228960","OR2A9P",0,0
"ENSG00000228961","LINC01690",2,2
"ENSG00000228963","OR7E93P",0,0
"ENSG00000228965","RPSAP60",0,0
"ENSG00000228966","HOMER2P1",2,2
"ENSG00000228968","AC096554.1",0,0
"ENSG00000228970","UBTFL6",0,0
"ENSG00000228971","LINC02607",1,1
"ENSG00000228973","AC009955.1",0,0
"ENSG00000228974","AC006483.1",0,0
"ENSG00000228976","SUMO2P8",34,34
"ENSG00000228979","PPIAP55",1,1
"ENSG00000228980","LINC01205",0,0
"ENSG00000228981","AC097658.1",67,65
"ENSG00000228982","AL627095.1",0,0
"ENSG00000228983","SLC47A1P1",1,1
"ENSG00000228984","AC021451.1",1,1
"ENSG00000228985","TRDD3",0,0
"ENSG00000228986","AC234781.3",39,38
"ENSG00000228988","AL353771.1",14,14
"ENSG00000228992","RPL5P32",1,2
"ENSG00000228995","MTND1P9",22,19
"ENSG00000228997","AL136452.1",0,0
"ENSG00000228998","AC091167.1",0,18
"ENSG00000228999","AC096570.1",0,0
"ENSG00000229000","SEPTIN7P8",1,1
"ENSG00000229001","ACTBP14",9,5
"ENSG00000229002","AC246785.1",0,0
"ENSG00000229005","HNF4A-AS1",1,1
"ENSG00000229007","EXOSC3P1",22,6
"ENSG00000229009","TMPRSS11GP",8,8
"ENSG00000229010","AL161672.1",109,107
"ENSG00000229011","LINC01038",0,0
"ENSG00000229012","AC003685.1",0,0
"ENSG00000229013","AC083939.1",0,0
"ENSG00000229014","RPL30P13",3,2
"ENSG00000229015","AL450472.1",0,0
"ENSG00000229016","AC096638.2",5,5
"ENSG00000229017","LINC01277",1,3
"ENSG00000229018","PMS2P7",16,6
"ENSG00000229019","AL161457.1",1,1
"ENSG00000229020","AKR7A2P1",39,39
"ENSG00000229021","AL450992.1",10,6
"ENSG00000229022","AL365366.1",9,9
"ENSG00000229023","RAB1AP1",8,8
"ENSG00000229025","AP001595.1",0,0
"ENSG00000229027","HSFY1P1",0,0
"ENSG00000229028","KRT223P",0,0
"ENSG00000229029","CDCA4P1",76,75
"ENSG00000229030","BX276092.3",0,0
"ENSG00000229031","MTCO1P25",3,1
"ENSG00000229032","AL445685.2",1,0
"ENSG00000229035","SPRR2C",0,0
"ENSG00000229036","VDAC1P8",354,250
"ENSG00000229037","MRPL32P2",3,3
"ENSG00000229042","AL031656.1",0,0
"ENSG00000229043","ZFAND2A-DT",68,86
"ENSG00000229044","AL451070.1",10,7
"ENSG00000229046","HMGN1P2",22,22
"ENSG00000229047","AF127577.1",0,0
"ENSG00000229048","DUTP1",15,14
"ENSG00000229051","LINC01788",0,0
"ENSG00000229052","AL449283.1",68,68
"ENSG00000229054","RPS29P14",47,46
"ENSG00000229056","HECW2-AS1",2,2
"ENSG00000229057","RPS3AP54",0,0
"ENSG00000229060","AL451124.1",0,0
"ENSG00000229063","TRBV23OR9-2",1,1
"ENSG00000229064","AC104073.1",1,1
"ENSG00000229065","AL354893.2",6,5
"ENSG00000229066","AC093459.1",0,0
"ENSG00000229067","AL714022.1",2,2
"ENSG00000229068","TMPOP1",1,1
"ENSG00000229072","HMGN2P24",0,0
"ENSG00000229079","CR848007.1",2,2
"ENSG00000229080","MTCO3P30",0,0
"ENSG00000229081","LINC01165",2,2
"ENSG00000229082","OR5AW1P",0,0
"ENSG00000229083","PSMA6P2",4,4
"ENSG00000229086","LINC01548",0,0
"ENSG00000229087","RPS26P18",8,5
"ENSG00000229088","MTND1P10",1,1
"ENSG00000229089","ANKRD20A8P",2,2
"ENSG00000229090","FO082842.1",0,0
"ENSG00000229091","HSPA8P8",22,1
"ENSG00000229092","IGHV3-47",16,7
"ENSG00000229093","OR51AB1P",1,1
"ENSG00000229097","CALM2P2",282,279
"ENSG00000229101","ELOCP20",0,0
"ENSG00000229102","AC076966.2",0,0
"ENSG00000229104","YY1P2",0,0
"ENSG00000229105","ASTN2-AS1",9,8
"ENSG00000229106","BTBD6P1",32,29
"ENSG00000229107","ABHD17AP4",49,48
"ENSG00000229108","LINC02587",0,0
"ENSG00000229109","AL137847.1",1,1
"ENSG00000229110","AC006355.1",0,0
"ENSG00000229111","MED4-AS1",19,10
"ENSG00000229112","AL356583.2",0,0
"ENSG00000229115","AL390774.1",5,5
"ENSG00000229116","AL137026.1",5,5
"ENSG00000229117","RPL41",1658,1647
"ENSG00000229118","AC068491.1",25,25
"ENSG00000229119","AC026403.1",40,45
"ENSG00000229120","CYCSP4",58,58
"ENSG00000229122","AGBL5-IT1",23,21
"ENSG00000229124","VIM-AS1",118,115
"ENSG00000229127","KANSL1L-AS1",405,397
"ENSG00000229129","ACTG1P2",1,1
"ENSG00000229131","AC016710.1",0,0
"ENSG00000229132","EIF4A1P10",25,26
"ENSG00000229133","RPS7P4",13,11
"ENSG00000229138","CDY6P",0,0
"ENSG00000229140","CCDC26",9,121
"ENSG00000229142","HCG4P8",2,0
"ENSG00000229143","AC009480.2",1,0
"ENSG00000229145","ACTBP1",17,13
"ENSG00000229146","SNX18P4",0,0
"ENSG00000229147","SMPD4P2",1,0
"ENSG00000229150","CRYGEP",10,7
"ENSG00000229151","AC233976.1",19,18
"ENSG00000229152","ANKRD10-IT1",598,590
"ENSG00000229153","EPHA1-AS1",487,453
"ENSG00000229154","KCNQ5-AS1",242,610
"ENSG00000229155","LINC02038",0,0
"ENSG00000229156","CR769776.2",2,2
"ENSG00000229159","TSPY23P",0,0
"ENSG00000229160","AC009229.2",4,4
"ENSG00000229161","TCP1P1",2,0
"ENSG00000229162","RUNX3-AS1",12,12
"ENSG00000229163","NAP1L1P2",8,7
"ENSG00000229165","GDI2P1",0,0
"ENSG00000229167","AC114488.1",0,1
"ENSG00000229168","RPL19P20",2,2
"ENSG00000229169","AL096701.2",34,34
"ENSG00000229172","AC073065.1",1,1
"ENSG00000229173","SRMP3",1,1
"ENSG00000229175","LINC00382",0,0
"ENSG00000229177","AC008154.1",0,0
"ENSG00000229178","AC233280.1",8,7
"ENSG00000229180","AC006001.3",680,1006
"ENSG00000229182","MRPS16P1",0,0
"ENSG00000229183","PGA4",0,0
"ENSG00000229184","ATP5PDP2",1,1
"ENSG00000229186","ADAM1A",0,0
"ENSG00000229188","AL050349.1",0,0
"ENSG00000229190","AC069542.1",22,21
"ENSG00000229191","AL358473.1",7,5
"ENSG00000229192","AC004870.3",1,1
"ENSG00000229195","AC009495.1",20,13
"ENSG00000229196","AC087071.1",3,4
"ENSG00000229197","RPS15AP28",0,0
"ENSG00000229201","LINC02787",0,0
"ENSG00000229203","AC103564.1",0,0
"ENSG00000229204","PTGES3P3",12,14
"ENSG00000229205","LINC00200",3,20
"ENSG00000229206","AL162408.1",0,0
"ENSG00000229207","SERPINH1P1",16,20
"ENSG00000229208","RBMY2NP",0,0
"ENSG00000229209","AC073987.1",0,0
"ENSG00000229211","KCTD9P6",0,0
"ENSG00000229212","AC044860.1",2,2
"ENSG00000229213","AL033527.1",0,0
"ENSG00000229214","LINC00242",2,2
"ENSG00000229217","CYCSP11",5,5
"ENSG00000229220","AC096633.1",25,24
"ENSG00000229221","HNRNPA1P66",1,1
"ENSG00000229222","KRT18P4",38,39
"ENSG00000229224","AC105398.1",0,1
"ENSG00000229225","AL162400.2",0,0
"ENSG00000229226","BTF3L4P4",0,0
"ENSG00000229227","AL356056.1",3,2
"ENSG00000229228","LINC00582",7,7
"ENSG00000229229","AC022201.1",0,0
"ENSG00000229230","MT1P3",5,4
"ENSG00000229231","FEM1AP1",1,1
"ENSG00000229232","KRT18P53",0,0
"ENSG00000229233","AC011891.2",0,0
"ENSG00000229234","RBMY1KP",0,0
"ENSG00000229235","RPL37P18",6,6
"ENSG00000229236","TTTY10",145,421
"ENSG00000229237","HMGN1P37",11,11
"ENSG00000229238","PPP1R12BP1",1,1
"ENSG00000229239","AL451000.1",4,4
"ENSG00000229240","LINC00710",0,1
"ENSG00000229241","PNPT1P1",33,30
"ENSG00000229242","AL358452.1",0,0
"ENSG00000229243","LINC01981",0,0
"ENSG00000229246","LINC00377",0,0
"ENSG00000229247","AL627313.1",0,0
"ENSG00000229248","WBP2P1",0,0
"ENSG00000229249","LINC00446",0,0
"ENSG00000229250","USP9YP31",0,0
"ENSG00000229251","HNRNPA1P8",7,6
"ENSG00000229254","OR8C1P",1,1
"ENSG00000229255","AC138089.1",0,0
"ENSG00000229256","ST13P13",2,2
"ENSG00000229257","AL807752.2",1,1
"ENSG00000229258","LPGAT1-AS1",1,1
"ENSG00000229259","LRRC37A12P",1,1
"ENSG00000229261","AL596223.1",1,0
"ENSG00000229262","AL160411.1",0,0
"ENSG00000229263","AC004691.1",2,2
"ENSG00000229266","POM121L8P",1,1
"ENSG00000229267","SNHG31",28,34
"ENSG00000229268","PES1P2",0,0
"ENSG00000229269","AL451048.1",0,0
"ENSG00000229271","AC091493.1",0,0
"ENSG00000229272","AL157388.1",0,0
"ENSG00000229273","BX664615.1",1,0
"ENSG00000229274","LINC02829",0,0
"ENSG00000229275","BX284656.1",0,0
"ENSG00000229276","REV3L-IT1",19,18
"ENSG00000229278","AL133353.1",0,0
"ENSG00000229280","EEF1DP6",0,0
"ENSG00000229281","GPR53P",0,0
"ENSG00000229282","AL031963.2",0,0
"ENSG00000229283","AL356387.1",0,0
"ENSG00000229286","AP000522.1",0,0
"ENSG00000229287","FABP5P4",0,0
"ENSG00000229288","AL451142.2",1,1
"ENSG00000229289","AP000431.1",0,0
"ENSG00000229291","LINC02768",0,0
"ENSG00000229292","RFPL4AL1",0,0
"ENSG00000229294","AL139294.1",6,6
"ENSG00000229297","AL451140.1",1,1
"ENSG00000229298","TUBB8P1",54,51
"ENSG00000229299","AL121845.1",0,0
"ENSG00000229301","AC006455.4",0,0
"ENSG00000229302","TAF9P2",0,0
"ENSG00000229303","PPIAP25",1,0
"ENSG00000229305","AL358876.1",0,0
"ENSG00000229306","AP001464.1",1,1
"ENSG00000229307","LINC00459",0,0
"ENSG00000229308","AC010737.1",21,20
"ENSG00000229309","AL353633.1",0,0
"ENSG00000229310","RPP40P1",0,0
"ENSG00000229311","BX088651.2",0,0
"ENSG00000229312","AL353693.1",0,0
"ENSG00000229313","AL133268.3",13,6
"ENSG00000229314","ORM1",9,9
"ENSG00000229315","MCHR2-AS1",0,0
"ENSG00000229316","HMGB1P45",0,0
"ENSG00000229320","KRT8P12",171,169
"ENSG00000229321","AC008269.1",0,52
"ENSG00000229322","AC244197.1",0,0
"ENSG00000229324","NUTF2P7",8,8
"ENSG00000229325","ACAP2-IT1",153,151
"ENSG00000229326","RPL17P15",26,23
"ENSG00000229327","AL391839.1",19,18
"ENSG00000229330","AC006947.1",26,26
"ENSG00000229331","GK-IT1",12,12
"ENSG00000229332","PGBD4P8",0,0
"ENSG00000229334","AC046143.1",116,94
"ENSG00000229335","DANT1",0,0
"ENSG00000229336","SREK1IP1P1",0,0
"ENSG00000229337","AC079305.2",0,43
"ENSG00000229338","NME2P3",0,0
"ENSG00000229339","AC093414.1",60,57
"ENSG00000229343","CDY22P",0,0
"ENSG00000229344","MTCO2P12",242,157
"ENSG00000229345","AL392185.1",0,0
"ENSG00000229347","AL596268.1",0,0
"ENSG00000229348","HYI-AS1",10,4
"ENSG00000229349","ACTG1P9",14,9
"ENSG00000229351","KRTAP9-11P",0,0
"ENSG00000229352","AC007563.1",0,0
"ENSG00000229356","LRRC3-DT",8,7
"ENSG00000229357","CYCSP51",2,2
"ENSG00000229358","DPY19L1P1",328,310
"ENSG00000229359","PIN1P1",0,0
"ENSG00000229360","PPP1R2P5",0,0
"ENSG00000229361","UBTFL7",0,0
"ENSG00000229365","AC006967.1",0,0
"ENSG00000229367","HMGN2P19",0,0
"ENSG00000229368","AC090587.1",16,13
"ENSG00000229369","AL450263.2",5,5
"ENSG00000229370","AC073062.1",0,0
"ENSG00000229372","SZT2-AS1",1,0
"ENSG00000229373","LINC00452",4,2
"ENSG00000229375","USP24P1",0,0
"ENSG00000229376","CICP3",2,2
"ENSG00000229379","AC006041.1",1,1
"ENSG00000229380","PRKAR1B-AS2",4,3
"ENSG00000229382","BX322557.1",0,0
"ENSG00000229384","HMGB1P16",0,0
"ENSG00000229385","CTNNA2-AS1",0,0
"ENSG00000229386","OR8B9P",0,0
"ENSG00000229388","LINC01715",4,4
"ENSG00000229389","AC111152.1",0,0
"ENSG00000229390","MICD",39,39
"ENSG00000229391","HLA-DRB6",643,615
"ENSG00000229393","AL139246.4",3,3
"ENSG00000229395","AC062039.1",0,0
"ENSG00000229398","AL031667.1",0,0
"ENSG00000229399","AL592148.1",12,12
"ENSG00000229400","CNIH3-AS1",0,0
"ENSG00000229401","MIR5689HG",0,0
"ENSG00000229402","AL162151.1",12,12
"ENSG00000229403","AC005999.1",0,0
"ENSG00000229404","LINC00858",2,2
"ENSG00000229405","AC092580.1",7,7
"ENSG00000229406","OFD1P4Y",0,0
"ENSG00000229407","AL359853.1",0,0
"ENSG00000229409","AL117328.1",27,27
"ENSG00000229413","AC018638.1",107,65
"ENSG00000229414","KCNQ1-AS1",17,14
"ENSG00000229415","SFTA3",1,0
"ENSG00000229416","USP9YP8",0,0
"ENSG00000229417","NPM1P25",14,0
"ENSG00000229418","AL136181.1",43,43
"ENSG00000229419","RALGAPA1P1",130,129
"ENSG00000229421","H3P10",0,0
"ENSG00000229422","AL512625.2",21,32
"ENSG00000229423","RPL27AP8",0,0
"ENSG00000229424","AC007349.1",14,14
"ENSG00000229425","AJ009632.2",6,30
"ENSG00000229427","ANKRD26P4",21,21
"ENSG00000229431","MED8-AS1",38,33
"ENSG00000229433","LINC02069",0,8
"ENSG00000229434","AC017048.1",0,0
"ENSG00000229435","PIP5K1P2",1,1
"ENSG00000229436","AC073850.1",19,19
"ENSG00000229437","LINC00366",0,0
"ENSG00000229440","AL139413.1",0,0
"ENSG00000229442","THEMIS3P",1,1
"ENSG00000229443","LINC00433",1,1
"ENSG00000229444","ST3GAL3-AS1",31,25
"ENSG00000229447","AC114495.2",42,42
"ENSG00000229452","CPVL-AS1",12,12
"ENSG00000229453","SPINK8",5,5
"ENSG00000229454","AL157882.1",0,0
"ENSG00000229455","RPS10P18",12,12
"ENSG00000229456","RLIMP1",170,169
"ENSG00000229457","LINC01789",0,0
"ENSG00000229458","AC010157.1",0,0
"ENSG00000229459","AC023669.1",0,0
"ENSG00000229462","AC127383.1",0,0
"ENSG00000229463","LYST-AS1",76,76
"ENSG00000229465","ACTG1P11",0,0
"ENSG00000229466","LINC02627",0,0
"ENSG00000229468","RPL39P18",1,1
"ENSG00000229473","RGS17P1",307,299
"ENSG00000229474","PATL2",655,639
"ENSG00000229478","ROBO2P1",0,0
"ENSG00000229483","LINC00362",0,0
"ENSG00000229484","LINC02766",3,2
"ENSG00000229485","KSR1P1",1,1
"ENSG00000229486","AC104454.1",0,0
"ENSG00000229487","ALG13-AS1",84,84
"ENSG00000229491","AC136489.1",0,0
"ENSG00000229492","FO681548.1",0,0
"ENSG00000229494","AC012494.2",0,0
"ENSG00000229495","AL450327.1",1,1
"ENSG00000229497","AC005189.1",2,2
"ENSG00000229498","AC105053.1",2,2
"ENSG00000229500","RPL17P1",1,1
"ENSG00000229502","AL391863.1",27,25
"ENSG00000229503","RPL21P37",8,8
"ENSG00000229505","AC104455.1",9,9
"ENSG00000229508","PHKG1P4",0,0
"ENSG00000229509","AC244023.1",2,2
"ENSG00000229511","GAS2L1P1",0,0
"ENSG00000229512","AC068580.1",9,0
"ENSG00000229515","FLT1P1",0,0
"ENSG00000229518","UBE2V1P3",0,0
"ENSG00000229519","AL591866.1",59,59
"ENSG00000229520","LINC00404",0,0
"ENSG00000229521","MYCBP2-AS2",12,12
"ENSG00000229522","LINC01523",0,0
"ENSG00000229525","AC053503.1",0,0
"ENSG00000229526","KRT16P4",0,0
"ENSG00000229528","AC119677.1",0,0
"ENSG00000229530","AL136097.1",13,13
"ENSG00000229531","RABGAP1L-AS1",46,45
"ENSG00000229532","AC105443.1",0,0
"ENSG00000229533","AC003986.1",2,2
"ENSG00000229534","HNRNPA1P53",13,13
"ENSG00000229536","LINC02572",4,9
"ENSG00000229537","LINC01739",1,1
"ENSG00000229539","PANK2-AS1",56,54
"ENSG00000229541","GAPDHP26",0,0
"ENSG00000229543","AC010163.1",3,3
"ENSG00000229544","NKX1-2",0,0
"ENSG00000229546","LINC00428",0,0
"ENSG00000229547","UBE2DNL",0,0
"ENSG00000229549","TSPY8",0,0
"ENSG00000229550","AC012445.1",0,0
"ENSG00000229551","GAPDHP17",0,0
"ENSG00000229553","USP9YP17",0,0
"ENSG00000229554","RPL21P24",0,0
"ENSG00000229557","LINC00379",0,0
"ENSG00000229558","SACS-AS1",0,0
"ENSG00000229559","AL353597.2",0,0
"ENSG00000229560","LYARP1",0,0
"ENSG00000229562","ZFYVE9P1",0,0
"ENSG00000229563","LINC01204",1,0
"ENSG00000229565","LINC02264",0,0
"ENSG00000229567","AL139421.1",38,37
"ENSG00000229568","SMC4P1",1,1
"ENSG00000229569","AL356753.1",8,8
"ENSG00000229570","GAPDHP58",5,5
"ENSG00000229571","PRAMEF25",1,1
"ENSG00000229572","EIF4BP4",0,0
"ENSG00000229578","LINC00358",0,0
"ENSG00000229579","USP17L26",0,0
"ENSG00000229582","AL358074.1",3,3
"ENSG00000229585","RPL21P44",66,67
"ENSG00000229586","TNPO1P3",2,1
"ENSG00000229587","AL158825.2",39,38
"ENSG00000229588","AL596087.2",0,0
"ENSG00000229589","ACVR2B-AS1",14,14
"ENSG00000229590","MSX2P1",7,0
"ENSG00000229591","AC006017.1",88,87
"ENSG00000229593","SUCLA2P3",1,0
"ENSG00000229594","AL159987.2",0,0
"ENSG00000229595","AL109810.1",1,1
"ENSG00000229596","MYL8P",1,1
"ENSG00000229598","PRDX3P1",194,193
"ENSG00000229599","LINC00411",0,0
"ENSG00000229600","AL391336.1",0,0
"ENSG00000229601","AL590762.1",24,24
"ENSG00000229603","AC004014.1",0,0
"ENSG00000229604","MTATP8P2",77,67
"ENSG00000229605","RPL21P93",6,6
"ENSG00000229606","LINC01718",0,0
"ENSG00000229607","AL137027.1",0,0
"ENSG00000229608","GOLGA2P4",10,10
"ENSG00000229609","LINC01079",0,0
"ENSG00000229611","LINC02851",1,1
"ENSG00000229612","SUMO1P2",0,0
"ENSG00000229613","LINC01501",0,0
"ENSG00000229616","AL356095.1",0,0
"ENSG00000229618","AC011287.1",0,3
"ENSG00000229619","MBNL1-AS1",566,664
"ENSG00000229621","LINC01822",0,0
"ENSG00000229622","MTND5P2",112,106
"ENSG00000229623","METTL21AP1",9,9
"ENSG00000229625","AC016877.1",1,1
"ENSG00000229626","PIGCP2",2,2
"ENSG00000229627","BSNDP4",0,0
"ENSG00000229628","AC073115.1",5,4
"ENSG00000229629","AL500527.2",10,10
"ENSG00000229630","LINC01264",0,0
"ENSG00000229635","AL137159.1",12,12
"ENSG00000229636","KRT8P21",0,0
"ENSG00000229637","PRAC2",0,0
"ENSG00000229638","RPL4P4",340,332
"ENSG00000229639","LINC01758",0,0
"ENSG00000229641","CYP2C56P",0,0
"ENSG00000229642","AC087857.1",0,0
"ENSG00000229643","LINC00280",0,0
"ENSG00000229644","NAMPTP1",102,101
"ENSG00000229646","AL109914.1",3,2
"ENSG00000229647","MYOSLID",12,12
"ENSG00000229648","RPSAP22",2,2
"ENSG00000229649","LINC02681",1,1
"ENSG00000229652","AL359837.1",0,0
"ENSG00000229654","LINC02526",0,0
"ENSG00000229656","ITGB1-DT",3,3
"ENSG00000229657","AL391822.1",5,4
"ENSG00000229658","PABPC1P9",0,0
"ENSG00000229659","RPL26P6",52,48
"ENSG00000229660","AC004975.2",3,3
"ENSG00000229661","BUD31P2",0,0
"ENSG00000229662","AC245047.2",0,0
"ENSG00000229663","DPY19L4P1",13,13
"ENSG00000229664","AL137186.1",15,15
"ENSG00000229665","PRR20C",0,0
"ENSG00000229666","MAST4-AS1",22,21
"ENSG00000229667","UBE2V1P9",0,0
"ENSG00000229668","AL133384.1",1,1
"ENSG00000229670","PKP4P1",0,0
"ENSG00000229671","LINC01150",56,89
"ENSG00000229672","AL450322.2",1,2
"ENSG00000229673","Z73495.1",1,1
"ENSG00000229674","H2AL1RP",0,0
"ENSG00000229676","ZNF492",96,89
"ENSG00000229677","AC018644.1",225,220
"ENSG00000229679","AC007327.2",24,24
"ENSG00000229682","AC114755.1",0,0
"ENSG00000229686","SNORD56",0,0
"ENSG00000229687","AL049745.2",1,0
"ENSG00000229688","CRPPA-AS1",31,31
"ENSG00000229689","AC009237.3",41,39
"ENSG00000229690","MTCO2P1",0,0
"ENSG00000229692","SOS1-IT1",173,170
"ENSG00000229693","SKP2P1",1,1
"ENSG00000229694","LINC00484",15,35
"ENSG00000229695","AC011242.1",2,1
"ENSG00000229696","KARS1P1",15,15
"ENSG00000229697","FAM242E",0,0
"ENSG00000229699","AL161636.1",0,0
"ENSG00000229700","AL008627.1",3,3
"ENSG00000229701","MTND2P20",0,0
"ENSG00000229703","LYPD9P",2,2
"ENSG00000229704","EIF2S2P2",3,3
"ENSG00000229707","SKP1P3",0,0
"ENSG00000229708","MARK2P12",0,0
"ENSG00000229709","USP9YP36",0,0
"ENSG00000229711","AL512366.1",0,0
"ENSG00000229713","LCEP2",0,0
"ENSG00000229715","EEF1DP3",96,0
"ENSG00000229716","RPL23AP19",0,0
"ENSG00000229717","AC110615.1",2,3
"ENSG00000229719","MIR194-2HG",12,12
"ENSG00000229720","AL109924.1",0,0
"ENSG00000229721","AC104115.1",18,18
"ENSG00000229722","AL078590.1",0,0
"ENSG00000229723","LINC01054",0,0
"ENSG00000229724","OR2AQ1P",0,0
"ENSG00000229725","AC007322.2",0,0
"ENSG00000229727","AC013460.1",6,11
"ENSG00000229728","AL136531.1",86,85
"ENSG00000229730","AC013268.2",0,0
"ENSG00000229731","AC107613.1",0,0
"ENSG00000229732","AC019349.1",0,0
"ENSG00000229733","AL030996.1",0,0
"ENSG00000229735","FTLP16",0,0
"ENSG00000229738","AC010240.1",2,2
"ENSG00000229739","PDC-AS1",6,39
"ENSG00000229740","U91324.1",0,4
"ENSG00000229742","AC092809.1",5,5
"ENSG00000229743","LINC01159",0,1
"ENSG00000229744","SDHDP5",0,0
"ENSG00000229745","BPY2DP",0,0
"ENSG00000229747","AL445687.2",0,0
"ENSG00000229749","COTL1P1",0,0
"ENSG00000229750","AC096649.1",10,3
"ENSG00000229751","AC044781.1",5,4
"ENSG00000229752","RPL7P10",4,3
"ENSG00000229753","RPS27AP15",0,0
"ENSG00000229754","CXCR2P1",51,52
"ENSG00000229755","AL121910.1",0,0
"ENSG00000229756","RPL31P20",0,0
"ENSG00000229757","AL031736.2",1,1
"ENSG00000229758","DYNLT3P2",2,2
"ENSG00000229759","MRPS18AP1",30,18
"ENSG00000229760","MTCO1P52",0,0
"ENSG00000229761","RPS20P1",0,0
"ENSG00000229762","AC092647.3",0,0
"ENSG00000229765","AL354868.1",2,2
"ENSG00000229766","AL021396.1",12,15
"ENSG00000229769","TRBV10-2",3,3
"ENSG00000229770","AL022337.1",0,0
"ENSG00000229771","AL035665.1",0,0
"ENSG00000229774","AC018866.1",1,1
"ENSG00000229775","LINC02624",0,0
"ENSG00000229776","C4B-AS1",0,0
"ENSG00000229779","AC016751.1",0,0
"ENSG00000229780","UBE2Q1-AS1",15,11
"ENSG00000229781","RRN3P4",11,11
"ENSG00000229782","AC118754.1",58,55
"ENSG00000229785","SLC25A38P1",2,2
"ENSG00000229786","SNRPFP2",14,14
"ENSG00000229788","LINC00388",0,0
"ENSG00000229791","AL356259.1",0,0
"ENSG00000229792","LINC00399",2,2
"ENSG00000229794","MTCYBP32",12,12
"ENSG00000229795","RPS21P1",22,1
"ENSG00000229797","AC140481.1",0,0
"ENSG00000229798","KRT18P26",10,9
"ENSG00000229800","ATP8A2P2",50,19
"ENSG00000229805","LINC01813",0,0
"ENSG00000229806","RPS15P5",7,6
"ENSG00000229807","XIST",6,6
"ENSG00000229808","AL391825.1",114,113
"ENSG00000229809","ZNF688",323,257
"ENSG00000229814","RPL35AP21",3,3
"ENSG00000229815","CCNB1IP1P1",17,11
"ENSG00000229816","DDX50P1",167,164
"ENSG00000229817","AL133412.1",5,4
"ENSG00000229820","CR391992.1",53,52
"ENSG00000229821","AC103925.1",0,0
"ENSG00000229822","RPS15AP39",21,19
"ENSG00000229824","RPL12P34",0,0
"ENSG00000229826","AC244505.5",0,0
"ENSG00000229827","AC093899.1",1,1
"ENSG00000229828","PDE4DIPP1",0,0
"ENSG00000229829","DUTP4",0,0
"ENSG00000229830","AL589823.1",0,0
"ENSG00000229831","AC108039.2",1,0
"ENSG00000229832","AL360091.1",41,40
"ENSG00000229833","PET100",201,49
"ENSG00000229834","AL354676.1",4,4
"ENSG00000229835","KHSRPP1",2,2
"ENSG00000229836","AL671883.1",1,1
"ENSG00000229839","AC018462.1",134,130
"ENSG00000229840","ISCA1P2",0,0
"ENSG00000229842","MTATP6P13",4,3
"ENSG00000229846","AC099788.1",0,0
"ENSG00000229847","EMX2OS",40,33
"ENSG00000229848","AC139149.1",23,23
"ENSG00000229849","PYHIN5P",0,0
"ENSG00000229851","ARSD-AS1",0,0
"ENSG00000229852","AC019205.1",308,367
"ENSG00000229853","AL034418.1",66,63
"ENSG00000229854","AL357936.1",0,0
"ENSG00000229855","AC008568.1",796,1325
"ENSG00000229857","AL353637.1",0,0
"ENSG00000229858","AC016831.2",0,0
"ENSG00000229859","PGA3",0,0
"ENSG00000229862","AL121972.1",8,7
"ENSG00000229863","AC097358.1",2,2
"ENSG00000229865","RPL31P54",0,0
"ENSG00000229867","STEAP3-AS1",20,28
"ENSG00000229869","AL359878.2",0,0
"ENSG00000229870","RPL21P89",11,11
"ENSG00000229871","RPSAP20",0,0
"ENSG00000229873","OGFR-AS1",21,21
"ENSG00000229875","EIF1P1",1,1
"ENSG00000229876","CASC20",0,0
"ENSG00000229877","PAICSP5",1,1
"ENSG00000229878","AL365203.1",0,0
"ENSG00000229880","IMMTP1",5,3
"ENSG00000229881","AC091685.1",0,0
"ENSG00000229882","AL450469.1",0,0
"ENSG00000229885","AC244505.6",0,0
"ENSG00000229886","AC068533.2",11,11
"ENSG00000229887","HNRNPA1P6",6,8
"ENSG00000229890","ACTP1",1,0
"ENSG00000229891","LINC01315",0,0
"ENSG00000229892","AL035666.1",0,0
"ENSG00000229893","TAX1BP1-AS1",4,2
"ENSG00000229894","GK3P",70,80
"ENSG00000229896","AL157373.2",0,0
"ENSG00000229897","SEPTIN7P7",1,1
"ENSG00000229899","AC084290.1",0,0
"ENSG00000229900","HSPD1P21",0,0
"ENSG00000229901","FOXO6-AS1",2,2
"ENSG00000229905","AL669831.2",0,0
"ENSG00000229906","SNRPGP11",0,0
"ENSG00000229907","DEFB108A",0,0
