"","GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
"ENSG00000226252",18,10,12,10,25,14
"ENSG00000226253",0,0,0,0,0,0
"ENSG00000226254",0,0,0,0,0,0
"ENSG00000226255",0,0,0,0,0,0
"ENSG00000226258",0,0,0,0,0,0
"ENSG00000226259",1,5,8,8,43,54
"ENSG00000226261",2,1,2,1,0,0
"ENSG00000226262",0,0,0,0,0,0
"ENSG00000226263",0,0,0,0,0,0
"ENSG00000226266",10,5,14,9,17,15
"ENSG00000226268",0,0,0,1,1,2
"ENSG00000226270",0,0,0,0,0,0
"ENSG00000226272",15,19,1,2,0,0
"ENSG00000226273",0,0,0,0,0,2
"ENSG00000226276",0,0,0,0,0,0
"ENSG00000226277",0,0,0,0,0,0
"ENSG00000226278",5,24,16,53,0,3
"ENSG00000226279",0,0,0,0,0,3
"ENSG00000226280",0,1,0,0,0,0
"ENSG00000226281",5,10,1,6,2,1
"ENSG00000226284",10,9,3,10,37,70
"ENSG00000226285",0,0,0,0,0,0
"ENSG00000226286",0,0,0,0,0,0
"ENSG00000226287",48,32,30,25,17,12
"ENSG00000226288",1,0,4,0,1,0
"ENSG00000226289",0,0,0,0,0,0
"ENSG00000226291",0,1,0,0,0,0
"ENSG00000226292",0,0,2,3,0,0
"ENSG00000226296",0,0,0,0,0,0
"ENSG00000226297",0,0,0,0,0,0
"ENSG00000226298",0,0,0,0,0,0
"ENSG00000226299",0,0,0,0,0,0
"ENSG00000226301",0,0,0,0,0,0
"ENSG00000226302",0,0,0,0,0,0
"ENSG00000226304",0,0,0,0,0,0
"ENSG00000226306",7,3,0,1,2,3
"ENSG00000226307",0,0,0,0,0,0
"ENSG00000226308",0,0,0,0,0,0
"ENSG00000226309",0,0,0,0,1,2
"ENSG00000226310",3,2,2,2,0,1
"ENSG00000226312",115,95,66,59,206,166
"ENSG00000226313",0,0,0,0,0,0
"ENSG00000226314",2,2,8,4,32,16
"ENSG00000226317",0,0,0,0,0,0
"ENSG00000226318",5,3,2,2,0,0
"ENSG00000226320",0,0,0,8,0,0
"ENSG00000226321",17,33,0,1,1,4
"ENSG00000226323",0,0,0,0,0,0
"ENSG00000226324",0,0,0,0,0,0
"ENSG00000226327",0,3,2,2,0,0
"ENSG00000226328",424,278,173,102,248,143
"ENSG00000226329",10,10,17,16,2,8
"ENSG00000226330",2,4,0,0,0,0
"ENSG00000226331",0,0,0,0,0,0
"ENSG00000226332",27,29,7,10,22,31
"ENSG00000226334",0,0,0,1,12,6
"ENSG00000226336",0,0,0,0,0,0
"ENSG00000226337",2,1,2,2,6,4
"ENSG00000226338",0,0,0,0,0,0
"ENSG00000226339",0,0,0,2,0,0
"ENSG00000226340",0,1,0,0,0,1
"ENSG00000226341",0,0,0,0,0,0
"ENSG00000226342",4,1,0,1,0,0
"ENSG00000226344",0,0,0,0,0,0
"ENSG00000226345",1,1,0,0,0,0
"ENSG00000226348",0,0,0,0,0,0
"ENSG00000226349",0,0,0,1,0,0
"ENSG00000226352",7,7,5,7,53,31
"ENSG00000226353",0,0,0,0,0,0
"ENSG00000226355",0,0,0,0,0,0
"ENSG00000226356",0,0,0,0,0,0
"ENSG00000226358",0,0,0,0,0,0
"ENSG00000226359",4,2,0,0,0,5
"ENSG00000226360",43,52,38,51,25,35
"ENSG00000226361",0,0,0,0,0,0
"ENSG00000226362",0,0,0,0,0,0
"ENSG00000226363",0,0,0,0,0,0
"ENSG00000226364",0,0,0,0,0,0
"ENSG00000226366",0,0,0,0,0,0
"ENSG00000226367",0,2,0,0,0,0
"ENSG00000226369",0,0,0,0,0,0
"ENSG00000226370",0,0,0,0,0,0
"ENSG00000226372",0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,0,0
"ENSG00000226375",0,0,0,0,2,2
"ENSG00000226376",0,0,0,0,0,0
"ENSG00000226377",0,0,0,0,0,0
"ENSG00000226380",326,119,233,47,579,106
"ENSG00000226383",0,1,4,2,0,0
"ENSG00000226386",0,0,0,0,0,0
"ENSG00000226387",0,0,0,0,0,0
"ENSG00000226388",0,0,0,0,0,0
"ENSG00000226389",0,0,0,0,0,0
"ENSG00000226390",1,1,0,0,0,0
"ENSG00000226392",0,0,0,0,0,0
"ENSG00000226393",2,1,0,0,0,2
"ENSG00000226394",0,0,0,3,0,0
"ENSG00000226395",0,0,0,0,0,0
"ENSG00000226396",47,57,24,40,42,54
"ENSG00000226397",0,0,0,0,0,0
"ENSG00000226398",0,0,0,0,0,0
"ENSG00000226400",0,0,0,0,0,0
"ENSG00000226401",0,0,0,0,0,0
"ENSG00000226403",0,0,0,0,0,0
"ENSG00000226405",0,0,0,0,0,0
"ENSG00000226406",0,0,0,0,1,1
"ENSG00000226407",0,0,0,0,0,0
"ENSG00000226409",0,0,0,0,0,0
"ENSG00000226410",0,0,0,0,0,0
"ENSG00000226411",0,0,0,0,0,0
"ENSG00000226412",0,0,0,0,0,0
"ENSG00000226413",0,0,0,0,0,0
"ENSG00000226414",0,0,0,0,0,0
"ENSG00000226415",33,50,49,70,178,230
"ENSG00000226416",0,1,3,3,2,2
"ENSG00000226419",56,35,30,18,15,12
"ENSG00000226420",0,0,0,0,0,0
"ENSG00000226421",0,0,0,0,1,0
"ENSG00000226423",9,7,0,0,0,1
"ENSG00000226425",0,0,0,0,0,0
"ENSG00000226426",0,0,0,0,0,0
"ENSG00000226427",0,0,0,0,0,3
"ENSG00000226428",2,2,0,0,0,0
"ENSG00000226429",0,0,0,0,0,0
"ENSG00000226430",0,0,0,0,0,0
"ENSG00000226431",0,0,0,0,0,0
"ENSG00000226432",0,0,0,2,3,6
"ENSG00000226433",0,0,0,0,0,0
"ENSG00000226435",1,2,0,4,0,0
"ENSG00000226436",0,0,0,2,3,22
"ENSG00000226438",0,1,0,0,0,0
"ENSG00000226439",0,1,1,5,0,3
"ENSG00000226440",0,0,1,1,0,0
"ENSG00000226441",0,0,0,0,0,0
"ENSG00000226442",0,0,0,0,0,0
"ENSG00000226443",0,0,0,1,1,3
"ENSG00000226444",0,0,0,0,0,1
"ENSG00000226445",1,3,5,5,1,5
"ENSG00000226446",0,0,0,0,0,0
"ENSG00000226447",0,0,0,0,0,0
"ENSG00000226448",0,0,0,0,0,0
"ENSG00000226449",0,0,0,0,0,0
"ENSG00000226450",30,24,7,7,8,4
"ENSG00000226453",0,0,0,0,0,0
"ENSG00000226454",0,0,0,0,7,4
"ENSG00000226455",3,24,0,0,0,0
"ENSG00000226457",1,1,1,2,0,1
"ENSG00000226461",0,0,0,0,0,0
"ENSG00000226465",0,2,0,0,0,0
"ENSG00000226466",0,0,0,0,7,7
"ENSG00000226468",0,1,0,0,0,0
"ENSG00000226469",0,0,0,1,0,0
"ENSG00000226470",0,0,0,0,0,0
"ENSG00000226471",20,18,15,15,3,3
"ENSG00000226472",1,0,0,0,0,0
"ENSG00000226473",0,0,0,0,0,0
"ENSG00000226474",0,0,0,0,0,0
"ENSG00000226476",0,0,2,1,2,3
"ENSG00000226477",0,0,0,0,0,0
"ENSG00000226478",0,0,0,1,0,1
"ENSG00000226479",87,140,364,604,1035,1623
"ENSG00000226480",0,0,0,0,0,0
"ENSG00000226481",0,0,0,0,0,0
"ENSG00000226482",0,0,0,0,0,0
"ENSG00000226483",0,0,0,0,0,0
"ENSG00000226484",0,0,0,0,0,0
"ENSG00000226485",0,0,0,0,0,0
"ENSG00000226486",0,0,0,0,0,0
"ENSG00000226487",0,0,0,0,0,0
"ENSG00000226488",0,0,0,0,0,0
"ENSG00000226489",0,0,0,0,0,0
"ENSG00000226490",0,0,0,0,0,0
"ENSG00000226491",2,5,0,3,22,37
"ENSG00000226493",2,1,2,5,0,0
"ENSG00000226496",2,1,0,0,0,0
"ENSG00000226497",0,0,0,0,0,0
"ENSG00000226498",0,2,0,1,0,0
"ENSG00000226499",2,3,0,1,0,0
"ENSG00000226500",0,0,0,0,0,0
"ENSG00000226501",0,1,0,0,0,1
"ENSG00000226502",0,0,0,0,0,0
"ENSG00000226504",0,0,0,0,0,0
"ENSG00000226506",0,0,0,0,0,0
"ENSG00000226507",0,0,0,0,0,0
"ENSG00000226508",2,2,2,2,8,4
"ENSG00000226509",0,0,0,0,0,0
"ENSG00000226510",2,1,0,0,0,0
"ENSG00000226515",0,0,0,0,0,0
"ENSG00000226516",0,0,0,0,0,0
"ENSG00000226519",0,1,0,2,0,2
"ENSG00000226520",0,0,0,0,0,0
"ENSG00000226521",0,0,0,0,0,0
"ENSG00000226522",0,2,0,0,0,0
"ENSG00000226523",0,0,0,0,0,0
"ENSG00000226525",0,4,11,20,6,7
"ENSG00000226526",0,0,0,0,0,0
"ENSG00000226527",0,0,0,0,0,0
"ENSG00000226529",0,0,0,0,0,0
"ENSG00000226530",0,9,0,5,0,1
"ENSG00000226532",0,1,0,1,0,1
"ENSG00000226533",0,2,0,0,0,0
"ENSG00000226534",0,0,0,0,1,1
"ENSG00000226535",0,0,0,1,0,1
"ENSG00000226536",0,0,0,0,0,0
"ENSG00000226537",0,0,0,0,0,0
"ENSG00000226539",0,1,0,0,0,0
"ENSG00000226540",0,3,1,6,5,25
"ENSG00000226541",0,0,0,0,0,0
"ENSG00000226542",0,0,0,0,0,0
"ENSG00000226543",0,0,0,0,0,5
"ENSG00000226544",1,1,0,0,0,0
"ENSG00000226545",0,0,1,4,0,0
"ENSG00000226547",0,0,0,0,0,0
"ENSG00000226548",0,0,0,0,1,0
"ENSG00000226549",2,1,0,1,0,4
"ENSG00000226552",0,0,0,0,0,0
"ENSG00000226553",0,3,0,0,3,6
"ENSG00000226554",0,0,0,0,0,0
"ENSG00000226555",0,0,0,0,0,0
"ENSG00000226556",0,0,0,0,0,0
"ENSG00000226557",0,0,0,0,0,0
"ENSG00000226558",0,0,0,0,0,0
"ENSG00000226562",0,1,0,0,0,1
"ENSG00000226564",158,238,111,155,235,362
"ENSG00000226565",0,0,0,0,0,0
"ENSG00000226566",0,0,0,0,0,0
"ENSG00000226567",0,0,0,0,0,0
"ENSG00000226570",0,0,0,0,0,0
"ENSG00000226571",6,7,2,1,4,4
"ENSG00000226573",0,0,0,0,0,0
"ENSG00000226576",1,0,0,0,0,0
"ENSG00000226577",0,0,0,0,1,0
"ENSG00000226578",0,0,0,0,0,0
"ENSG00000226579",0,0,0,0,0,0
"ENSG00000226580",0,0,0,0,0,0
"ENSG00000226581",2,3,0,0,0,1
"ENSG00000226582",1,1,0,0,0,0
"ENSG00000226587",0,0,0,0,0,0
"ENSG00000226590",0,0,0,0,0,0
"ENSG00000226592",0,0,0,0,0,0
"ENSG00000226594",0,0,0,0,0,0
"ENSG00000226595",0,0,0,0,0,0
"ENSG00000226597",0,0,0,0,0,0
"ENSG00000226599",2,1,0,0,0,0
"ENSG00000226600",0,0,0,0,0,0
"ENSG00000226601",0,0,0,0,4,4
"ENSG00000226604",0,0,0,0,0,0
"ENSG00000226605",0,0,0,0,0,0
"ENSG00000226608",324,677,642,926,855,1286
"ENSG00000226609",0,6,12,6,0,0
"ENSG00000226611",0,0,0,0,0,0
"ENSG00000226616",4,0,4,0,4,2
"ENSG00000226617",0,0,0,2,0,0
"ENSG00000226619",0,0,0,0,0,0
"ENSG00000226620",0,0,0,0,0,0
"ENSG00000226621",0,0,0,0,0,0
"ENSG00000226622",0,0,0,0,0,0
"ENSG00000226624",5,3,1,14,1,1
"ENSG00000226625",0,0,23,13,0,0
"ENSG00000226626",0,0,0,0,0,0
"ENSG00000226627",0,0,0,0,0,0
"ENSG00000226629",0,0,2,0,0,0
"ENSG00000226631",0,0,0,0,1,1
"ENSG00000226632",2,1,0,0,0,1
"ENSG00000226633",0,0,2,1,0,0
"ENSG00000226636",0,0,0,0,0,0
"ENSG00000226640",0,0,0,0,0,0
"ENSG00000226641",0,0,0,1,0,0
"ENSG00000226642",0,0,0,3,1,8
"ENSG00000226643",0,0,0,0,0,0
"ENSG00000226644",0,0,0,0,0,0
"ENSG00000226645",0,1,0,0,0,0
"ENSG00000226646",0,0,0,3,0,2
"ENSG00000226647",0,0,0,0,0,0
"ENSG00000226648",10,78,5,24,2,7
"ENSG00000226649",0,1,2,2,0,0
"ENSG00000226650",0,0,0,0,1,1
"ENSG00000226652",0,1,0,0,1,1
"ENSG00000226653",0,0,0,0,0,0
"ENSG00000226655",0,0,0,0,0,0
"ENSG00000226658",0,0,0,1,0,0
"ENSG00000226659",5,2,2,1,2,0
"ENSG00000226660",48,22,23,10,3,2
"ENSG00000226661",0,0,0,0,0,0
"ENSG00000226662",0,0,1,0,0,0
"ENSG00000226663",0,0,0,0,0,0
"ENSG00000226664",0,0,0,0,0,0
"ENSG00000226665",0,0,0,0,0,0
"ENSG00000226666",1,5,0,0,0,3
"ENSG00000226668",0,0,0,0,1,0
"ENSG00000226669",1,1,2,1,0,0
"ENSG00000226670",0,0,0,0,0,0
"ENSG00000226671",0,0,0,0,0,0
"ENSG00000226673",2,1,0,0,2,1
"ENSG00000226674",2,1,1,1,0,5
"ENSG00000226676",0,0,2,2,0,0
"ENSG00000226677",1,2,1,2,14,11
"ENSG00000226679",0,0,0,0,0,0
"ENSG00000226680",0,0,0,0,0,0
"ENSG00000226681",0,0,0,0,0,0
"ENSG00000226683",2,2,0,0,0,1
"ENSG00000226685",0,0,0,0,0,0
"ENSG00000226686",0,0,2,3,7,6
"ENSG00000226688",106,35,107,10,618,77
"ENSG00000226690",0,0,0,0,0,0
"ENSG00000226693",0,0,0,0,0,0
"ENSG00000226694",0,0,0,0,0,0
"ENSG00000226695",0,0,0,0,0,0
"ENSG00000226696",77,66,19,20,60,49
"ENSG00000226699",0,0,0,3,0,0
"ENSG00000226700",0,0,0,0,0,0
"ENSG00000226701",1,2,0,4,0,2
"ENSG00000226702",0,0,0,0,0,0
"ENSG00000226703",0,0,0,2,0,0
"ENSG00000226705",1,7,0,1,0,6
"ENSG00000226706",4,0,6,2,1,0
"ENSG00000226707",0,0,0,0,0,0
"ENSG00000226708",0,0,0,0,0,0
"ENSG00000226709",0,0,0,0,0,0
"ENSG00000226711",6,5,19,12,9,5
"ENSG00000226715",0,0,0,0,0,0
"ENSG00000226716",0,0,0,0,0,0
"ENSG00000226717",0,0,0,0,0,0
"ENSG00000226718",0,0,0,0,0,1
"ENSG00000226722",0,0,0,0,0,0
"ENSG00000226723",0,0,3,2,2,1
"ENSG00000226724",0,0,0,0,0,0
"ENSG00000226725",0,0,0,0,0,0
"ENSG00000226726",0,0,0,0,0,0
"ENSG00000226729",0,0,0,0,0,0
"ENSG00000226733",0,0,0,0,0,0
"ENSG00000226734",0,0,0,0,0,0
"ENSG00000226739",0,0,0,0,0,0
"ENSG00000226741",0,0,0,0,0,0
"ENSG00000226742",99,96,36,33,151,160
"ENSG00000226744",0,0,0,0,0,0
"ENSG00000226745",0,3,1,3,1,8
"ENSG00000226746",2,1,4,2,0,1
"ENSG00000226747",0,0,0,0,0,1
"ENSG00000226750",0,0,0,0,0,0
"ENSG00000226752",273,198,702,455,2555,1479
"ENSG00000226753",0,0,0,0,0,0
"ENSG00000226754",2,1,0,0,6,3
"ENSG00000226755",0,0,0,0,0,0
"ENSG00000226756",6,6,2,1,2,1
"ENSG00000226757",0,0,0,0,0,0
"ENSG00000226758",1,1,0,0,2,2
"ENSG00000226759",0,0,0,0,0,0
"ENSG00000226761",0,0,0,0,0,0
"ENSG00000226762",0,0,0,1,1,0
"ENSG00000226763",22,11,4,2,0,2
"ENSG00000226764",0,0,0,0,0,0
"ENSG00000226765",0,0,0,0,0,0
"ENSG00000226766",0,0,0,0,0,0
"ENSG00000226767",1,1,0,0,0,0
"ENSG00000226769",0,0,0,0,0,0
"ENSG00000226770",0,0,0,0,0,0
"ENSG00000226771",0,0,0,0,0,0
"ENSG00000226772",10,6,0,0,1,0
"ENSG00000226773",0,0,0,0,0,0
"ENSG00000226774",0,0,0,0,0,0
"ENSG00000226776",0,0,0,0,0,0
"ENSG00000226777",225,152,79,47,216,135
"ENSG00000226779",0,0,0,0,0,0
"ENSG00000226780",2,1,0,0,0,0
"ENSG00000226781",0,2,2,5,4,9
"ENSG00000226782",0,0,0,0,0,0
"ENSG00000226783",0,1,0,0,0,0
"ENSG00000226784",11,8,2,2,4,13
"ENSG00000226789",2,1,0,0,1,0
"ENSG00000226790",0,1,0,0,5,3
"ENSG00000226791",10,28,8,7,49,37
"ENSG00000226792",0,0,0,0,1,0
"ENSG00000226794",0,0,0,0,0,0
"ENSG00000226797",0,3,0,0,0,0
"ENSG00000226798",0,0,0,0,0,0
"ENSG00000226800",10,8,1,1,0,0
"ENSG00000226801",4,2,0,0,0,0
"ENSG00000226802",0,0,0,0,0,0
"ENSG00000226803",17,21,0,0,15,4
"ENSG00000226804",0,0,0,0,0,0
"ENSG00000226806",0,0,0,0,2,1
"ENSG00000226807",0,1,0,1,0,2
"ENSG00000226808",2,1,1,3,0,0
"ENSG00000226810",0,0,0,0,0,0
"ENSG00000226812",0,0,0,0,0,0
"ENSG00000226813",0,0,0,0,0,0
"ENSG00000226814",0,0,0,0,0,0
"ENSG00000226816",8,4,14,7,27,17
"ENSG00000226818",0,0,0,0,0,1
"ENSG00000226819",1,1,0,0,0,0
"ENSG00000226820",1,0,0,0,0,0
"ENSG00000226822",5,6,4,4,146,95
"ENSG00000226823",1,3,0,0,0,0
"ENSG00000226824",0,7,8,7,24,19
"ENSG00000226825",0,0,0,0,0,0
"ENSG00000226827",0,0,0,0,0,1
"ENSG00000226828",0,0,0,1,11,11
"ENSG00000226829",0,0,0,0,0,0
"ENSG00000226831",0,0,0,0,0,1
"ENSG00000226833",8,11,7,13,46,55
"ENSG00000226835",0,0,0,0,0,0
"ENSG00000226836",0,0,0,0,0,0
"ENSG00000226837",0,0,0,0,0,1
"ENSG00000226838",0,0,0,0,0,0
"ENSG00000226839",0,0,0,0,0,0
"ENSG00000226840",0,0,0,0,0,0
"ENSG00000226842",2,0,0,0,3,0
"ENSG00000226843",0,0,0,0,0,0
"ENSG00000226845",0,0,0,0,0,0
"ENSG00000226846",0,0,0,0,0,0
"ENSG00000226847",0,0,0,0,0,0
"ENSG00000226849",113,9,31,1,37,1
"ENSG00000226851",0,1,0,2,0,0
"ENSG00000226853",4,3,4,2,10,5
"ENSG00000226854",0,0,0,0,0,0
"ENSG00000226855",6,6,3,10,6,8
"ENSG00000226856",8,5,0,0,1,1
"ENSG00000226857",0,0,0,0,0,0
"ENSG00000226859",0,0,0,0,0,0
"ENSG00000226860",0,0,0,0,0,0
"ENSG00000226861",0,0,0,0,0,0
"ENSG00000226862",1,2,6,11,5,6
"ENSG00000226863",0,0,0,0,0,0
"ENSG00000226864",0,0,4,6,7,6
"ENSG00000226867",0,0,0,0,0,0
"ENSG00000226868",0,0,0,0,0,0
"ENSG00000226869",0,0,0,0,0,0
"ENSG00000226870",0,0,0,0,0,0
"ENSG00000226871",0,0,0,0,0,0
"ENSG00000226872",0,0,0,0,0,0
"ENSG00000226873",0,0,0,0,0,0
"ENSG00000226874",1,2,1,2,30,30
"ENSG00000226875",0,0,0,0,0,0
"ENSG00000226876",0,0,0,0,0,0
"ENSG00000226877",0,0,1,1,0,0
"ENSG00000226878",0,0,0,0,0,0
"ENSG00000226881",0,1,3,4,5,15
"ENSG00000226883",0,1,0,0,0,0
"ENSG00000226884",0,0,0,1,0,0
"ENSG00000226885",0,0,0,0,0,0
"ENSG00000226886",0,0,0,1,0,0
"ENSG00000226887",0,0,0,1,0,0
"ENSG00000226888",0,0,0,0,0,0
"ENSG00000226889",0,0,0,0,0,0
"ENSG00000226890",0,1,0,0,0,0
"ENSG00000226891",2,4,6,5,18,20
"ENSG00000226899",0,1,0,0,0,0
"ENSG00000226900",0,1,0,1,0,0
"ENSG00000226902",0,0,0,0,0,0
"ENSG00000226903",0,0,0,0,0,0
"ENSG00000226904",0,0,0,1,0,0
"ENSG00000226905",0,0,0,0,0,0
"ENSG00000226906",0,0,0,0,0,0
"ENSG00000226908",0,0,0,0,1,4
"ENSG00000226912",0,0,0,0,0,0
"ENSG00000226913",0,0,0,0,0,0
"ENSG00000226915",0,1,0,5,1,2
"ENSG00000226917",0,0,0,0,1,0
"ENSG00000226918",4,4,6,4,0,0
"ENSG00000226919",0,0,0,0,0,0
"ENSG00000226921",0,0,0,0,0,0
"ENSG00000226925",0,0,0,0,0,0
"ENSG00000226926",0,0,0,0,2,3
"ENSG00000226927",0,0,0,0,0,0
"ENSG00000226928",0,0,0,0,0,0
"ENSG00000226929",0,0,0,0,0,0
"ENSG00000226930",0,0,0,0,0,0
"ENSG00000226933",0,0,0,0,0,1
"ENSG00000226935",0,1,0,0,0,0
"ENSG00000226937",2,1,0,0,1,0
"ENSG00000226938",0,0,0,0,0,0
"ENSG00000226939",0,0,0,0,0,0
"ENSG00000226941",0,0,0,0,0,0
"ENSG00000226942",36,10,12,1,9,1
"ENSG00000226943",0,1,0,0,0,0
"ENSG00000226944",1,1,0,0,1,1
"ENSG00000226945",40,36,3,15,10,14
"ENSG00000226946",0,0,0,0,0,0
"ENSG00000226947",0,0,0,0,0,0
"ENSG00000226948",5,11,2,5,2,6
"ENSG00000226949",0,0,0,0,7,3
"ENSG00000226950",192,77,291,114,214,96
"ENSG00000226952",0,0,0,0,0,0
"ENSG00000226953",0,0,4,2,0,1
"ENSG00000226954",0,0,0,0,0,0
"ENSG00000226955",0,0,0,0,0,0
"ENSG00000226956",0,0,0,0,0,0
"ENSG00000226957",3,1,0,0,0,0
"ENSG00000226960",0,0,0,0,0,0
"ENSG00000226961",0,0,0,0,0,1
"ENSG00000226962",0,0,0,0,0,0
"ENSG00000226963",0,0,0,0,0,0
"ENSG00000226964",1,1,0,0,0,1
"ENSG00000226965",0,0,0,0,0,0
"ENSG00000226967",0,0,0,0,0,0
"ENSG00000226968",0,0,0,0,0,0
"ENSG00000226969",0,0,0,0,0,0
"ENSG00000226970",0,1,0,2,6,12
"ENSG00000226971",0,4,0,0,2,3
"ENSG00000226972",1,2,2,3,2,4
"ENSG00000226973",0,0,0,0,0,0
"ENSG00000226976",9,11,15,23,40,57
"ENSG00000226977",0,0,0,0,0,0
"ENSG00000226978",0,0,0,0,0,0
"ENSG00000226979",140,84,105,59,78,45
"ENSG00000226981",13,10,1,3,3,2
"ENSG00000226982",0,0,0,0,1,2
"ENSG00000226983",0,0,0,0,0,0
"ENSG00000226984",0,0,0,1,0,0
"ENSG00000226985",0,0,0,0,1,2
"ENSG00000226986",0,2,6,17,17,29
"ENSG00000226987",3,2,1,0,6,7
"ENSG00000226989",0,1,0,0,0,0
"ENSG00000226990",0,0,0,0,0,0
"ENSG00000226991",0,0,0,0,0,0
"ENSG00000226992",0,0,0,0,0,0
"ENSG00000226994",0,0,0,0,2,1
"ENSG00000226995",2,2,0,0,3,2
"ENSG00000226996",0,0,0,0,0,0
"ENSG00000226998",0,0,0,0,0,0
"ENSG00000226999",0,0,0,0,0,19
"ENSG00000227000",0,0,0,0,0,0
"ENSG00000227001",5,6,4,4,0,4
"ENSG00000227002",0,0,0,0,0,0
"ENSG00000227004",0,0,0,0,0,0
"ENSG00000227006",3,8,1,1,2,5
"ENSG00000227007",0,0,0,0,0,0
"ENSG00000227008",5,6,19,16,6,7
"ENSG00000227009",0,1,0,0,0,0
"ENSG00000227011",0,0,0,0,0,0
"ENSG00000227012",0,0,0,1,3,4
"ENSG00000227013",0,0,0,0,0,0
"ENSG00000227014",1,2,0,3,0,0
"ENSG00000227015",0,0,0,0,0,0
"ENSG00000227016",0,0,0,0,0,0
"ENSG00000227017",0,1,0,0,0,0
"ENSG00000227018",0,0,0,0,0,0
"ENSG00000227019",0,0,0,0,0,0
"ENSG00000227021",0,0,0,0,0,0
"ENSG00000227023",1,0,11,0,4,0
"ENSG00000227028",0,1,0,3,3,7
"ENSG00000227029",0,0,0,0,0,0
"ENSG00000227032",8,7,10,5,0,0
"ENSG00000227033",0,0,0,0,0,0
"ENSG00000227034",0,1,6,3,1,1
"ENSG00000227035",0,0,0,0,0,0
"ENSG00000227036",2,5,0,0,0,1
"ENSG00000227038",4,2,0,0,0,0
"ENSG00000227039",1403,752,1032,574,2411,1262
"ENSG00000227040",0,0,0,0,0,1
"ENSG00000227042",4,2,6,1,0,0
"ENSG00000227043",0,0,0,0,0,0
"ENSG00000227045",0,0,0,0,5,3
"ENSG00000227047",0,0,0,0,0,0
"ENSG00000227048",0,0,0,0,0,0
"ENSG00000227050",2,1,0,0,1,3
"ENSG00000227051",26,33,50,33,109,112
"ENSG00000227053",0,0,12,1,0,1
"ENSG00000227054",0,0,0,0,0,0
"ENSG00000227055",0,1,0,0,0,0
"ENSG00000227056",0,0,0,1,0,1
"ENSG00000227057",942,556,1034,642,843,505
"ENSG00000227058",0,0,0,0,0,0
"ENSG00000227059",0,0,0,0,0,0
"ENSG00000227060",0,0,0,0,4,3
"ENSG00000227061",0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0
"ENSG00000227063",1,42,6,170,1,269
"ENSG00000227064",0,0,0,0,0,0
"ENSG00000227066",0,0,4,5,0,0
"ENSG00000227067",0,0,0,0,0,0
"ENSG00000227068",0,2,0,0,0,0
"ENSG00000227069",0,0,0,0,1,0
"ENSG00000227070",5,6,4,2,0,1
"ENSG00000227071",0,0,0,0,0,0
"ENSG00000227072",0,0,0,0,0,0
"ENSG00000227073",1,1,0,0,0,2
"ENSG00000227075",0,0,0,0,0,0
"ENSG00000227076",1,2,0,0,45,75
"ENSG00000227077",5,18,3,9,2,5
"ENSG00000227078",0,1,0,0,0,0
"ENSG00000227080",15,4,0,1,24,16
"ENSG00000227081",14,44,112,270,28,70
"ENSG00000227082",2,2,0,0,0,2
"ENSG00000227083",0,0,0,0,0,0
"ENSG00000227087",0,0,0,1,0,0
"ENSG00000227088",0,0,0,0,0,0
"ENSG00000227089",0,0,0,0,0,0
"ENSG00000227090",0,0,0,0,0,0
"ENSG00000227091",0,0,0,0,0,0
"ENSG00000227094",0,0,0,0,0,0
"ENSG00000227096",0,0,0,0,0,0
"ENSG00000227097",356,806,196,399,110,201
"ENSG00000227098",0,0,0,0,0,0
"ENSG00000227101",0,0,0,0,0,0
"ENSG00000227102",0,0,0,0,0,0
"ENSG00000227104",0,0,0,0,0,0
"ENSG00000227105",2,3,0,2,0,0
"ENSG00000227107",0,0,2,1,12,6
"ENSG00000227108",0,0,0,0,0,0
"ENSG00000227109",0,0,0,0,0,0
"ENSG00000227110",0,0,0,0,0,3
"ENSG00000227113",2,3,0,0,0,0
"ENSG00000227115",0,0,0,1,2,1
"ENSG00000227117",1,1,0,0,4,20
"ENSG00000227118",2,3,0,2,0,2
"ENSG00000227120",0,0,0,0,0,0
"ENSG00000227121",0,0,0,0,0,0
"ENSG00000227123",0,2,0,0,0,0
"ENSG00000227124",21,13,22,12,76,41
"ENSG00000227125",0,0,0,0,0,0
"ENSG00000227128",3,1,0,2,0,1
"ENSG00000227131",0,0,0,0,0,0
"ENSG00000227133",0,0,0,0,0,0
"ENSG00000227134",0,0,0,0,0,0
"ENSG00000227138",0,0,0,0,0,0
"ENSG00000227139",0,0,0,0,0,0
"ENSG00000227140",0,0,0,0,0,0
"ENSG00000227141",0,0,0,0,0,0
"ENSG00000227143",0,0,0,0,0,0
"ENSG00000227145",0,0,0,0,0,0
"ENSG00000227148",0,0,0,0,0,0
"ENSG00000227149",0,0,0,0,0,0
"ENSG00000227150",0,0,0,0,0,0
"ENSG00000227151",0,0,0,0,0,0
"ENSG00000227152",0,0,0,0,0,0
"ENSG00000227154",0,3,0,0,0,0
"ENSG00000227155",85,69,17,13,43,24
"ENSG00000227157",0,0,0,0,0,0
"ENSG00000227158",0,0,0,0,0,0
